location,area,new/resale,furnished,price
Mohali Sector 127,620,1,1,1690000
Zirakpur punjab,1080,1,0,3700000
Zirakpur Road,1080,1,0,3700000
Zirakpur Road,1710,1,0,7000000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1750,1,0,3990000
Vip Road Zirakpur,1701,1,0,5190000
Ambala Highway,1050,1,0,2690000
SECTOR 115 MOHALI ON KHARAR LANDRAN ROAD,1030,1,0,2850000
Mohali Sec 117,1771,1,0,6600000
Sector 63,1250,0,1,8700000
Mohali Sector 127,930,1,1,2690000
Mohali Sector 127,930,1,1,2690000
Mohali Sector 127,610,1,0,1689000
Mohali Sector 127,615,1,0,1690000
Mohali Sector 127,950,1,0,2590000
Mohali Sec 117,1771,1,0,6541000
Zirakpur punjab,1020,1,0,3350000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1260,1,0,3890000
Zirakpur GAzipur Road,1000,1,0,2790000
Zirakpur GAzipur Road,1100,1,0,3600000
Aerocity Road,1410,1,0,5590000
SEC 116 MOHALI ON KHARAR LANDRAN ROAD,1308,1,0,3299000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1050,1,0,3590000
Patiala Road Zirakpur,1080,1,0,3750000
Ambala Highway,1800,1,0,6890000
Ambala Highway,1800,1,0,6890000
Zirakpur GAzipur Road,1100,1,0,2790000
Zirakpur GAzipur Road,1100,1,0,2790000
Dera Bassi,600,1,0,1590000
Dera Bassi,650,1,0,1690000
Dera Bassi,650,1,0,1690000
Mohali Sector 127,1350,1,1,3790000
Mohali Sec 125,1300,1,1,3390000
Dhakoli Zirakpur,700,1,0,1990000
Zirakpur GAzipur Road,1200,1,0,3700000
Zirakpur GAzipur Road,1050,1,0,3600000
Zirakpur GAzipur Road,1000,1,0,2790000
Aerocity Road,1500,1,0,5490000
Zirakpur punjab,1800,1,0,6190000
SEC 115 MOHALI KHARAR LANDRAN ROAD,700,1,0,1690000
Airport Road,1010,1,0,2550000
Dhakoli Zirakpur,750,1,1,1890000
Zirakpur GAzipur Road,1100,1,0,2700000
Zirakpur GAzipur Road,1100,1,0,3600000
Zirakpur GAzipur Road,1000,1,0,2690000
Zirakpur GAzipur Road,1100,1,0,2690000
Ambala Highway,1100,1,0,3600000
Ambala Highway,1738,1,0,6190000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1530,1,0,4090000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1230,1,0,3240000
Zirakpur GAzipur Road,1000,1,0,2790000
Dhakoli Zirakpur,870,1,1,1890000
Aerocity Road,1410,1,0,5590000
Zirakpur GAzipur Road,1000,1,0,2750000
Aerocity Road,1500,1,0,5790000
Mohali Sec 118,1800,1,0,6500000
SEC 115 MOHALI KHARAR LANDRAN ROAD,900,1,0,2750000
Zirakpur GAzipur Road,1000,1,0,2790000
Dera Bassi,600,1,0,1590000
Dera Bassi,600,1,0,1690000
Airport Road,1418,1,0,5290000
Airport Road,1410,1,0,5590000
Aerocity Road,1410,1,0,5590000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1530,1,0,3790000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1230,1,0,3240000
Aerocity Road,4150,1,0,5290000
Zirakpur GAzipur Road,1050,1,0,2750000
Zirakpur punjab,1100,1,0,3700000
Aerocity Road,1410,1,0,5290000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1000,1,0,2690000
Ambala Highway,1800,1,0,6690000
Zirakpur GAzipur Road,1110,1,0,3700000
Zirakpur GAzipur Road,1110,1,0,3700000
Zirakpur GAzipur Road,1110,1,0,3700000
Zirakpur GAzipur Road,1100,1,0,2790000
Zirakpur GAzipur Road,1320,1,0,4000000
Ambala Highway,1800,1,0,6690000
Mohali Sector 127,900,1,0,2690000
Dera Bassi,600,1,0,1690000
Dera Bassi,600,1,0,1690000
Dera Bassi,600,1,0,1669000
Zirakpur GAzipur Road,1100,1,0,2790000
Zirakpur GAzipur Road,1110,1,0,3450000
Zirakpur GAzipur Road,1100,1,0,2790000
Dera Bassi,1100,1,0,2590000
Airport Road,1500,1,0,5290000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1600,1,0,3240000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1500,1,0,2990000
Dera Bassi,1300,1,0,2200000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1600,1,0,3240000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1500,1,0,2990000
Dera Bassi,1300,1,0,2200000
Panchkula Road,780,1,0,1962000
Vip Road Zirakpur,1900,1,0,4990000
Ambala Highway,1800,1,0,6890000
SEC 115 MOHALI KHARAR LANDRAN ROAD,700,1,0,1690000
Ambala Highway,1800,1,0,6990000
Zirakpur GAzipur Road,1000,1,0,2790000
sector 5 Mubarikpur road derabassi,1100,1,0,2550000
Dera Bassi,1210,1,0,3590000
Dera Bassi,600,1,0,1600000
sector 5 Mubarikpur road derabassi,1110,1,0,2590000
Zirakpur GAzipur Road,1100,1,0,2790000
Zirakpur GAzipur Road,1100,1,0,2790000
New Chandigarh Mullanpur,1580,1,0,5815000
New Chandigarh Mullanpur,1580,1,0,5810000
New Chandigarh Mullanpur,1580,1,0,5820000
Dera Bassi,1350,1,0,3390000
Dera Bassi,1350,1,0,3390000
Dera Bassi,1350,1,0,3390000
Dera Bassi,1350,1,0,3390000
Dera Bassi,1350,1,0,3390000
Dera Bassi,1350,1,0,3390000
Dera Bassi,1350,1,0,3390000
Dera Bassi,1350,1,0,3390000
Dera Bassi,1350,1,0,3390000
Dera Bassi,1350,1,0,3390000
New Chandigarh Mullanpur,1675,1,0,6952375
New Chandigarh Mullanpur,1560,1,0,6492600
New Chandigarh Mullanpur,980,1,0,4193300
Dera Bassi,1350,1,0,3390000
Dhakoli,1485,1,0,4390000
New Chandigarh Mullanpur,1725,1,0,7885000
New Chandigarh Mullanpur,1034,1,0,3600000
Kharar Mohali,1425,1,0,4290000
Mullanpur New Chandigarh,1180,1,0,5800000
Mullanpur New Chandigarh,1180,0,0,4795000
Mullanpur Garibdass,1640,0,0,6200000
Mullanpur New Chandigarh,1640,0,0,6800000
Mullanpur New Chandigarh,2140,0,0,7600000
Mullanpur New Chandigarh,1180,0,0,5700000
Mullanpur Garibdass,1180,0,0,5600000
Mullanpur New Chandigarh,1640,0,0,5860000
Mullanpur New Chandigarh,1640,0,0,6100000
New Chandigarh Mullanpur,1560,0,0,9000000
Dera Bassi,1073,1,0,2000000
Mohali Sector 127,580,1,1,1590000
SEC 116 MOHALI KHARAR LANDRAN ROAD,1308,0,0,3260000
Mohali Sector 127,1130,1,1,3590000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1308,1,0,3450000
Lohgarh,1750,1,0,3789000
Dhakoli,1580,1,0,4150000
Lohgarh,1750,1,0,3700000
Dhakoli,1580,0,0,4250000
Zirakpur GAzipur Road,1210,1,0,3450000
Zirakpur GAzipur Road,1210,1,0,3450000
New Chandigarh Mullanpur,1150,1,0,5190000
Mohali Sector 127,920,1,1,2390000
Mohali Sec 125,1300,1,1,3390000
Highland Marg,1368,1,0,4000000
Highland Marg,1368,1,0,3890000
Highland Marg,1368,1,0,4190000
Highland Marg,1369,1,0,3890000
Mohali Sector 127,1100,1,1,3490000
Mohali Sector 127,900,1,1,2190000
Dera Bassi,900,1,0,2090000
Dera Bassi,560,1,0,1450000
sector 5 Mubarikpur road derabassi,1120,1,0,2475000
Mohali Sec 125,1053,1,0,4490000
Dera Bassi,1625,1,0,3490000
Highland Marg,1369,1,0,3995000
Highland Marg,1369,1,0,4195000
Highland Marg,1368,1,0,3890000
Patiala Road Zirakpur,1300,1,0,4190000
sector 123,1111,1,1,2790000
Shivalik Vihar Road,945,1,1,2590000
Mullanpur Garibdass,2250,1,0,6600000
Peermachhala,1350,1,0,4000000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1350,1,0,3900000
Zirakpur Road,1800,1,0,6900000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1450,1,0,4000000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1400,1,0,4000000
Sector 20 Panchkula,1500,1,0,4000000
NEARBY PEERMUCHALLA SECTOR 20 PANCHKULA,1250,1,0,3200000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1800,1,0,6000000
Dhakoli,1050,1,0,2950000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1350,1,0,3900000
kharar landran road,850,1,1,2390000
Airport Road,1000,1,1,2750000
Mohali Sector 127,600,1,1,1690000
Patiala Road Zirakpur,1080,1,0,3950000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1310,1,0,3990000
Mohali Sec 125,1550,1,0,3400000
Patiala Road Zirakpur,460,1,0,1550000
Patiala Road Zirakpur,460,1,0,1600000
Patiala Road Zirakpur,460,1,0,1650000
Patiala Road Zirakpur,510,1,0,1850000
Patiala Road Zirakpur,510,1,0,1750000
Patiala Road Zirakpur,510,1,0,1800000
Patiala Road Zirakpur,510,1,0,1850000
Panchkula Road,1100,1,0,2590000
Sec 124 Sunny Enclave,1550,1,0,3490000
Mohali Sec 125,1550,1,0,3400000
Mohali Sector 127,2018,1,0,7290000
New Chandigarh Mullanpur,2250,1,0,6600000
Mullanpur Garibdass,2250,1,0,6600000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1400,1,0,3600000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1500,1,0,4000000
NEARBY PEERMUCHALLA SECTOR 20 PANCHKULA,1200,1,0,3200000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1400,1,0,4000000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1350,1,0,3900000
Peermachhala,1350,1,0,3900000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1450,1,0,3500000
Gazipur Road,1000,1,0,3490000
Gazipur Road,1000,1,0,2890000
Patiala Road Zirakpur,1350,1,0,4100000
Mohali Sec 92,2250,1,0,7190000
DLF Mullanpur,2250,1,0,7990000
Patiala Road,1908,1,0,7000000
Airport Road,1710,1,0,6550000
Dera Bassi,1350,1,0,3200000
Dhakoli,1200,0,0,3000000
Dhakoli,900,0,0,3190000
Dhakoli,1200,0,0,3200000
Dhakoli,900,0,0,3090000
Dhakoli,1200,0,0,3200000
Dhakoli,900,0,0,3190000
Dhakoli,900,0,0,3090000
Dhakoli,900,0,0,3090000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1400,1,0,3900000
Peermachhala,1250,1,0,3200000
NEARBY PEERMUCHALLA SECTOR 20 PANCHKULA,1350,1,0,3900000
NEARBY PEERMUCHALLA SECTOR 20 PANCHKULA,1350,1,0,3500000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1190,1,0,3500000
Dhakoli,1150,1,0,3150000
Dhakoli,1100,1,0,3300000
DLF Mullanpur,2098,1,0,7990000
DLF Mullanpur,2250,1,1,7990000
Patiala Road Zirakpur,510,1,0,1750000
Patiala Road Zirakpur,510,1,0,1800000
Patiala Road Zirakpur,510,1,0,1850000
Patiala Road Zirakpur,510,1,0,1750000
Patiala Road Zirakpur,510,1,0,1800000
Patiala Road Zirakpur,510,1,0,1850000
Patiala Road Zirakpur,460,1,0,1550000
Patiala Road Zirakpur,460,1,0,1600000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1080,1,0,3090000
Airport Road,1818,1,0,8100000
Patiala Road Zirakpur,460,1,0,1650000
Patiala Road Zirakpur,460,1,0,1550000
Patiala Road Zirakpur,460,1,0,1600000
DLF Mullanpur,2385,1,0,7990000
Zirakpur punjab,1734,1,0,6290000
Mohali Sector 127,600,1,1,1590000
Mohali Sector 127,600,1,1,1590000
Mohali Sector 127,600,1,1,1590000
Mohali Sector 127,600,1,1,1590000
Mohali Sector 127,600,1,1,1590000
Mohali Sector 127,1234,1,0,3680000
Mohali Sector 127,1234,1,0,3690000
Peermachhala,1190,1,0,3500000
Mohali Sector 127,1000,1,0,3870000
Mohali Sector 127,1050,1,1,1980000
Mohali Sector 127,950,1,1,2290000
SEC 115 MOHALI KHARAR LANDRAN ROAD,555,1,1,1450000
Mohali Sector 127,999,1,1,1950000
Mohali Sec 117,1000,1,0,3590000
Dera Bassi,1620,1,0,3590000
Dhakoli,1100,1,0,3300000
Gazipur,1750,1,0,3790000
Badal Colony,1650,1,0,3795000
Mohali Sector 127,1010,1,1,2690000
Mohali Sector 127,1010,1,1,2685000
Mohali Sector 127,810,1,1,1990000
Mohali Sector 127,810,1,1,2190000
Mohali Sector 127,1150,1,1,3190000
Mohali Sec 125,1150,1,1,3180000
Mohali Sector 127,1008,1,1,2690000
Mohali Sector 127,1010,1,1,2670000
Mohali Sector 127,950,1,1,2090000
Mohali Sector 127,1350,1,1,3190000
Gazipur,1750,1,0,3790000
Dhakoli,1600,1,0,3750000
Gazipur,1600,1,0,3700000
Gazipur,1650,1,0,3700000
SECTOR 115 MOHALI ON KHARAR LANDRAN ROAD,550,1,0,1490000
Mohali Sector 127,1015,1,1,2685000
Mohali Sector 127,945,1,1,2690000
Mohali Sector 127,945,1,1,2490000
Mohali Sector 127,1134,1,1,3490000
Mohali Sector 127,1296,1,1,3390000
Mohali Sector 127,960,1,1,2490000
Mohali Sector 127,1350,1,1,2990000
Mohali Sector 127,1150,1,1,3590000
SEC 115 MOHALI KHARAR LANDRAN ROAD,950,1,1,2490000
Mohali Sector 127,900,1,1,2085000
Mohali Sector 127,1150,1,1,3590000
Mohali Sector 127,1015,1,1,2775000
Mohali Sector 127,1140,1,1,3485000
Mohali Sector 127,1015,1,1,2675000
Mohali Sec 117,1350,1,0,4690000
Aerocity,1910,1,0,6490000
Aerocity Road,1410,1,0,4790000
SEC 115 MOHALI KHARAR LANDRAN ROAD,780,1,0,2290000
SEC 115 MOHALI KHARAR LANDRAN ROAD,900,1,0,2490000
Sec 124 Sunny Enclave,1125,1,0,2990000
Mohali Sec 125,1135,1,1,3190000
Sector115,970,1,1,1990000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1400,1,0,4000000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1350,1,0,3500000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1350,1,0,3900000
Peermachhala,1400,1,0,3900000
NEARBY PEERMUCHALLA SECTOR 20 PANCHKULA,1350,1,0,4000000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1350,1,0,3800000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1100,1,0,2900000
Mohali Sector 127,555,1,1,1490000
Mohali Sec 125,550,1,1,1590000
Mohali Sec 125,550,1,1,1690000
Mohali Sector 127,999,1,1,1990000
Mohali Sector 127,971,1,1,1990000
Mohali Sector 127,940,1,1,1790000
Mohali Sector 127,955,1,1,1890000
Mohali Sector 127,510,1,1,1490000
Mohali Sector 127,555,1,1,1490000
Mohali Sector 127,915,1,1,1990000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1450,1,0,4200000
Peermachhala,1350,1,0,3800000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1450,1,0,4000000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1350,1,0,3800000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1350,1,0,4200000
Mohali Sector 127,810,1,1,2190000
Mohali Sector 127,1134,1,1,3490000
Mohali Sector 127,900,1,1,2490000
Mohali Sector 127,810,1,1,2190000
Mohali Sector 127,1200,1,1,3390000
Mohali Sector 127,1135,1,1,3490000
Lohgarh,1450,0,0,3700000
Mohali Sector 127,600,1,1,1590000
Mohali Sector 127,600,1,1,1590000
Mohali Sector 127,600,1,1,1590000
Mohali Sector 127,600,1,1,1590000
Mohali Sector 127,600,1,1,1590000
Mohali Sector 127,600,1,1,1590000
Mohali Sector 127,600,1,1,1590000
Mohali Sector 127,600,1,1,1590000
Mohali Sector 127,600,1,1,1590000
Vip Road Zirakpur,1710,1,0,4990000
Vip Road Zirakpur,1800,1,0,5500000
Mohali Sec 113,2150,1,0,6431000
Mohali Sec 113,2150,1,0,6432000
Mohali Sec 117,600,1,0,6400000
Chandigarh,2150,1,0,6431000
Chandigarh,2150,1,0,6400000
Mohali Sector 127,910,1,1,1990000
Sunny Enclave,1500,1,0,3290000
Kharar Mohali,1150,1,1,2250000
Sector 37D,2250,1,0,12000000
Chandigarh,2150,1,0,6400000
Kharar Mohali,1075,1,0,3800000
Kharar Mohali,990,1,0,3460000
Kharar Mohali,990,1,0,3450000
Kharar Mohali,990,1,0,3430000
Kharar Mohali,990,1,0,3400000
Ambala Highway,1620,1,0,4420000
zirakpur vip road,1620,1,0,4410000
Vip Road Zirakpur,1620,1,0,4400000
Vip Road Zirakpur,1620,1,0,4440000
zirakpur vip road,1550,1,0,3870000
zirakpur vip road,1550,1,0,3860000
Vip Road Zirakpur,1550,1,0,3850000
Vip Road Zirakpur,1550,1,0,3840000
Vip Road Zirakpur,1550,1,0,3820000
Vip Road Zirakpur,1550,1,0,3800000
Vip Road Zirakpur,1550,1,0,3810000
Sec 124 Sunny Enclave,960,1,0,2290000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1450,1,0,3900000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1590,1,0,4600000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1450,1,0,42000000
Peermachhala,1350,1,0,3900000
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1590,1,0,4600000
Mohali Sector 127,950,1,1,2690000
New Chandigarh Mullanpur,2000,1,0,8123052
Vip Road Zirakpur,1520,1,0,3950000
zirakpur vip road,1550,1,0,3750000
zirakpur vip road,1620,1,0,3850000
Ambala Highway,1550,1,0,3790000
zirakpur vip road,1550,1,0,3750000
sector 5 Mubarikpur road derabassi,1120,1,0,2475000
Zirakpur GAzipur Road,1200,1,0,3500000
Vip Road Zirakpur,1800,1,0,4990000
Zirakpur GAzipur Road,1020,1,0,2890000
sector 5 Mubarikpur road derabassi,1120,1,0,2475000
Airport Road,1500,1,0,5500000
Ambala Highway,1810,1,0,6890000
zirakpur vip road,1000,1,0,3290000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1530,1,0,3790000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1270,1,0,2940000
Zirakpur punjab,1008,1,0,1990000
Kharar Mohali,1200,1,0,4140000
Vip Road Zirakpur,950,1,0,3290000
Dhakoli,1100,1,0,3390000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1380,1,1,3990000
SEC 115 MOHALI KHARAR LANDRAN ROAD,650,1,1,1790000
Mohali Sector 127,907,1,1,2685000
Mohali Sec 113,2150,1,0,6435000
Mohali Sec 113,2150,1,0,6432000
Mohali Sector 127,1050,1,1,2590000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1400,1,1,3690000
SEC 115 MOHALI KHARAR LANDRAN ROAD,1670,1,1,4290000
Mohali Sector 127,950,1,1,2390000
Mohali Sector 127,1005,1,1,2790000
Chandigarh,1650,1,0,8290000
Sector 20,2250,1,0,8290000
Dera Bassi,1650,1,0,3490000
Chandigarh,2150,1,0,6400000
Chandigarh,2150,1,0,6432000
Aerocity Road,1950,1,0,6100000
Aerocity,1950,1,0,6100000
Aerocity,1950,1,0,6000000
Aerocity Road,1950,1,0,6190000
Aerocity,1950,1,0,6195000
Airport Road,1550,1,0,8100000
Airport Road,1550,1,0,8100000
Road to Airport,1550,1,0,8111000
Chandigarh Airport Area,1550,1,0,8100000
Airport Road,1550,1,0,8100000
Chandigarh,1950,1,0,8200000
Chandigarh,1550,1,0,8200000
Zirakpur GAzipur Road,1100,1,0,3590000
Chandigarh Airport Area,1550,1,0,8111111
Chandigarh Airport Area,1560,1,0,8023000
Sector 88 Mohali,2150,1,0,5011111
Mohali Sec 76,2150,1,0,4950000
Mohali Sec 70,2150,1,0,4965000
Mohali Sec 90,2250,1,0,5195000
sector 5 Mubarikpur road derabassi,1120,1,0,2475000
Dera Bassi,1550,1,0,3590000
Dera Bassi,1550,1,0,3590000
Dera Bassi,1550,1,0,3590000
Dera Bassi,1550,1,0,3590000
sector 5 Mubarikpur road derabassi,1120,1,0,2475000
sector 5 Mubarikpur road derabassi,1120,1,0,2475000
sector 5 Mubarikpur road derabassi,1120,1,0,2475000
sector 5 Mubarikpur road derabassi,1120,0,0,2475000
Dera Bassi,1550,1,0,3590000
Dera Bassi,1550,1,0,3590000
Dera Bassi,1550,1,0,3590000
Dera Bassi,1550,1,0,3590000
Dera Bassi,1550,1,0,3590000
sector 5 Mubarikpur road derabassi,1120,1,0,2475000
85 Sector 34A Road,2050,1,0,6250000
85 Sector 34A Road,2250,1,0,7111111
85 Mohali Stadium Road,2250,1,0,6998000
Chandigarh,1950,1,0,9650000
Chandigarh,2250,1,0,8500001
Mohali Sec 84,2250,1,0,6284000
85 Sector 34A Road,2250,1,0,6285000
Aerocity,1950,1,0,6132000
Mohali Sec 125,2250,1,0,5523000
Mohali Sec 70,2250,1,0,5532000
Mohali Sec 71,2150,1,0,4965000
Mohali Sec 87,2150,1,0,4965000
Sector 88 Mohali,2150,1,0,4998000
Mohali Sec 76,2150,1,0,4963000
Mohali Sec 70,2150,1,0,4995000
Aerocity Road,1125,1,0,5390000
Aerocity Road,1125,1,0,5390000
Aerocity Road,1125,1,0,5390000
sector 5 Mubarikpur road derabassi,1120,1,0,2475000
Kharar Mohali,960,1,0,2290000
Zirakpur Road,1710,1,0,6000000
Zirakpur Road,1737,1,0,6000000
Chandigarh Airport Area,3150,1,0,13700000
Chandigarh,2695,1,0,15901111
Mohali Sec 66,2695,1,0,15900000
Chandigarh Road,2250,1,0,9231000
Chandigarh Airport Area,2250,1,0,9132000
Chandigarh International Airport,2550,1,0,9135000
85 Mohali Stadium Road,2250,1,0,9134000
Chandigarh,2251,1,0,9125000
85 Mohali Stadium Road,2250,1,0,9100000
Airport Road,1550,1,0,8135000
Road to Airport,1550,1,0,8123000
Airport Road,1550,1,0,8125000
Chandigarh,1550,1,0,8125000
Chandigarh International Airport,1550,1,0,8123000
Mohali Sec 113,2150,1,0,6421000
85 Mohali Stadium Road,2250,1,0,6535000
85 Sector 34A Road,2250,1,0,6650000
Chandigarh,1550,1,0,6599000
85 Mohali Stadium Road,2250,1,0,6600000
Chandigarh,1550,1,0,8125000
Chandigarh Airport Area,1950,1,0,6133100
Aerocity,1950,1,0,6200000
Aerocity Road,1950,1,0,6112000
Dera Bassi,1100,1,0,2375000
Mullanpur New Chandigarh,2140,0,0,78850000
New Chandigarh Mullanpur,2300,0,1,12500000
Omaxe New Chandigarh,1963,1,0,9200000
SEC 115 MOHALI KHARAR LANDRAN ROAD,550,1,1,1290000
Sector 20,2000,0,1,25000000
Kharar Mohali,907,1,0,3500000
Dhakoli,1250,0,0,2700000
Sector 23,1300,0,1,12000000
Lohgarh,1800,0,0,6700000
Lohgarh,1800,0,0,6700000
Lohgarh,1800,0,0,6700000
Zirakpur Road,1550,1,0,4145000
Mohali Sector 127,720,1,1,1990000
Mullanpur Garibdass,1180,0,0,4600000
New Chandigarh Mullanpur,1314,1,0,4285000
Mullanpur New Chandigarh,1314,1,0,4200000
Zirakpur GAzipur Road,1944,1,0,5800000
Vip Road Zirakpur,1701,1,0,4900000
Mohali Sector 127,680,1,0,2590000
